N,p,serial_median_s,parallel_median_s,speedup
12288,1,0.955875,0.937311,1.01980559280751
12288,2,0.955875,0.571201,1.673447700546743
12288,4,0.955875,0.358683,2.6649576366875487
12288,6,0.955875,0.342057,2.7944903919522184
12288,8,0.955875,0.261702,3.6525322695279367
12288,10,0.955875,0.230697,4.143421891051899
12288,12,0.955875,0.195108,4.899209668491297
24576,1,1.93353,1.99815,0.9676600855791606
24576,2,1.93353,1.19338,1.6202131760210492
24576,4,1.93353,0.727067,2.659356015332837
24576,6,1.93353,0.67393,2.8690368435890967
24576,8,1.93353,0.519623,3.721024665959744
24576,10,1.93353,0.459842,4.204770334158255
24576,12,1.93353,0.390596,4.950204303167467
49152,1,4.31023,4.48667,0.9606746205983502
49152,2,4.31023,2.62568,1.6415671368940616
49152,4,4.31023,1.43175,3.010462720447005
49152,6,4.31023,1.33608,3.2260268846176876
49152,8,4.31023,1.01389,4.251181094596061
49152,10,4.31023,0.883745,4.877232685899212
49152,12,4.31023,0.751625,5.734548478297023
