N,procs,serial_time_s,parallel_time_s_median,speedup
12288,1,0.447395,0.454771,0.9837808479432506
12288,2,0.447395,0.357257,1.2523057630781202
12288,4,0.447395,0.193277,2.314786549874015
12288,6,0.447395,0.215369,2.077341678700277
12288,8,0.447395,0.189289,2.363555198664476
12288,10,0.447395,0.175498,2.549288310977903
12288,12,0.447395,0.151534,2.9524397164992675
24576,1,0.961681,0.873379,1.1011038735760763
24576,2,0.961681,0.556338,1.7285912520805697
24576,4,0.961681,0.383337,2.5087090471308535
24576,6,0.961681,0.425718,2.258962505696259
24576,8,0.961681,0.359553,2.674657143731244
24576,10,0.961681,0.343695,2.7980651449686498
24576,12,0.961681,0.303497,3.168667235590467
49152,1,2.16371,1.76198,1.227999182737602
49152,2,2.16371,1.11798,1.9353745147498167
49152,4,2.16371,0.764967,2.8285010987402073
49152,6,2.16371,0.848439,2.550224588921537
49152,8,2.16371,0.69276,3.1233183209192217
49152,10,2.16371,0.658225,3.2871890311063847
49152,12,2.16371,0.583296,3.7094545479482113
98304,1,4.07432,3.5151,1.1590907797786691
98304,2,4.07432,2.34821,1.7350748016574329
98304,4,4.07432,1.95214,2.0871044084952923
98304,6,4.07432,2.87304,1.4181215715757525
98304,8,4.07432,2.41206,1.689145377809839
98304,10,4.07432,2.01991,2.0170799689095062
98304,12,4.07432,1.80641,2.255479099429255
