N,procs,serial_time_s,parallel_time_s,speedup
1024,1,0.00806939,0.00760908,1.0604948298611658
1024,2,0.00806939,0.00506194,1.5941299185687698
1024,4,0.00806939,0.00291077,2.7722527028930486
1024,6,0.00806939,0.00307819,2.621472358756282
1024,8,0.00806939,0.00283612,2.8452216408332505
1024,10,0.00806939,0.00264879,3.0464438479456657
1024,12,0.00806939,0.00271734,2.9695915858891415
2048,1,0.0117591,0.00950826,1.2367247004183732
2048,2,0.0117591,0.00743164,1.5823021567244915
2048,4,0.0117591,0.00408387,2.8794011562561983
2048,6,0.0117591,0.00482332,2.437968038612408
2048,8,0.0117591,0.00445032,2.642304373618077
2048,10,0.0117591,0.00422805,2.7812111966509385
2048,12,0.0117591,0.00404285,2.90861644631881
4096,1,0.0254448,0.0188361,1.3508528835586984
4096,2,0.0254448,0.0119211,2.134433902911644
4096,4,0.0254448,0.00917374,2.7736561097218804
4096,6,0.0254448,0.0107675,2.3631112143022985
4096,8,0.0254448,0.00904262,2.8138747398430985
4096,10,0.0254448,0.00781312,3.2566759501965925
4096,12,0.0254448,0.00699814,3.635937549120195
8192,1,0.0348867,0.0369356,0.9445277726637715
8192,2,0.0348867,0.0324404,1.0754090578414568
8192,4,0.0348867,0.0135797,2.569033189245712
8192,6,0.0348867,0.0162739,2.1437209273745075
8192,8,0.0348867,0.0169756,2.055108508683051
8192,10,0.0348867,0.0146158,2.386916898151316
8192,12,0.0348867,0.0123307,2.8292554356200377
16384,1,0.0731053,0.116337,0.6283925148491022
16384,2,0.0731053,0.0562693,1.2992040064475654
16384,4,0.0731053,0.0314955,2.3211347652839294
16384,6,0.0731053,0.0363704,2.010021885929217
16384,8,0.0731053,0.033907,2.156053322322824
16384,10,0.0731053,0.0322651,2.2657701355334403
16384,12,0.0731053,0.0256454,2.850620384162462
